wy,stage_ft,plot_posit
1980,3834.52,0.413043478
1981,3816.89,0.760869565
1982,3812.01,0.869565217
1983,3840.07,0.326086957
1984,3839.22,0.347826087
1985,3854.13,0.086956522
1986,3852.08,0.173913043
1987,3858.55,0.043478261
1988,3850.3,0.260869565
1989,3828.37,0.47826087
1990,3818.58,0.652173913
1991,3817.65,0.717391304
1992,3817.78,0.695652174
1993,3823.57,0.52173913
1994,3832.31,0.434782609
1995,3855.53,0.065217391
1996,3851.45,0.239130435
1997,3851.81,0.195652174
1998,3853.8,0.130434783
1999,3862.21,0.02173913
2000,3854.07,0.108695652
2001,3835.9,0.391304348
2002,3822.94,0.565217391
2003,3811.44,0.913043478
2004,3809.74,0.956521739
2005,3820.78,0.630434783
2006,3810.42,0.934782609
2007,3822.39,0.586956522
2008,3817.19,0.739130435
2009,3821.32,0.608695652
2010,3823.11,0.543478261
2011,3816.68,0.782608696
2012,3813,0.826086957
2013,3807.11,0.97826087
2014,3812.64,0.847826087
2015,3852.23,0.152173913
2016,3844.04,0.304347826
2017,3846.74,0.282608696
2018,3851.54,0.217391304
2019,3836.61,0.369565217
2020,3828.49,0.456521739
2021,3818.32,0.673913043
2022,3811.81,0.891304348
2023,3825,0.5
2024,3816.38,0.804347826
