"AEP","Expected"
0.99,3801.57239915635
0.98,3803.78840931691
0.97,3804.86358250255
0.96,3805.99787857672
0.95,3806.55246457507
0.94,3807.05889651767
0.93,3807.46181297324
0.92,3807.89170452252
0.91,3808.42609227696
0.9,3808.98525224094
0.8,3813.49812325203
0.7,3817.8737867996
0.6,3821.63190654102
0.5,3825.93168167218
0.4,3832.63644327433
0.3,3838.74101597584
0.2,3845.62293063882
0.1,3852.36629521949
0.09,3853.05858840483
0.08,3853.76393483814
0.07,3854.21890573667
0.06,3854.61632153965
0.05,3855.28901355789
0.04,3856.10240624111
0.03,3857.34803083696
0.02,3859.35858492734
0.01,3862.5217027166
0.009,3862.74441397086
0.008,3863.17957599099
0.007,3863.52451305679
0.006,3864.42021446489
0.005,3865.64628164479
0.004,3868.76777516266
0.003,3871.20806291732
0.002,3871.84159095826
0.001,3871.97432974115
9e-04,3871.99723787712
8e-04,3872.0344091062
7e-04,3872.07613195886
6e-04,3872.12731617888
5e-04,3872.18909576419
4e-04,3872.28275269656
3e-04,3872.41404907498
2e-04,3872.61802085266
1e-04,3873.90260509972
9e-05,3874.85317812263
8e-05,3876.2019235841
7e-05,3877.4750123133
6e-05,3879.4627233194
5e-05,3881.44628828208
4e-05,3883.29014624351
3e-05,3885.31972774979
2e-05,3887.90088139846
1e-05,3892.19308093022
9e-06,3892.59569968392
8e-06,3893.33124320342
7e-06,3894.18301129424
6e-06,3895.04176512594
5e-06,3895.95361571121
4e-06,3897.70314966566
3e-06,3899.6969950843
2e-06,3899.6969950843
1e-06,3899.6969950843
9e-07,3899.6969950843
8e-07,3899.6969950843
7e-07,3899.6969950843
6e-07,3899.6969950843
5e-07,3899.6969950843
4e-07,3899.6969950843
3e-07,3899.6969950843
2e-07,3899.6969950843
1e-07,3899.6969950843
9e-08,3899.6969950843
8e-08,3899.6969950843
7e-08,3899.6969950843
6e-08,3899.6969950843
5e-08,3899.6969950843
4e-08,3899.6969950843
3e-08,3899.6969950843
2e-08,3899.6969950843
1e-08,3899.6969950843
